date,sp500,dividends,earnings,cape
1871-01-01,4.44,0.26,0.4,
1871-02-01,4.5,0.26,0.4,
1871-03-01,4.61,0.26,0.4,
1871-04-01,4.74,0.26,0.4,
1871-05-01,4.86,0.26,0.4,
1871-06-01,4.82,0.26,0.4,
1871-07-01,4.73,0.26,0.4,
1871-08-01,4.79,0.26,0.4,
1871-09-01,4.84,0.26,0.4,
1871-10-01,4.59,0.26,0.4,
1871-11-01,4.64,0.26,0.4,
1871-12-01,4.74,0.26,0.4,
1872-01-01,4.86,0.2633,0.4025,
1872-02-01,4.88,0.2667,0.405,
1872-03-01,5.04,0.27,0.4075,
1872-04-01,5.18,0.2733,0.41,
1872-05-01,5.18,0.2767,0.4125,
1872-06-01,5.13,0.28,0.415,
1872-07-01,5.1,0.2833,0.4175,
1872-08-01,5.04,0.2867,0.42,
1872-09-01,4.95,0.29,0.4225,
1872-10-01,4.97,0.2933,0.425,
1872-11-01,4.95,0.2967,0.4275,
1872-12-01,5.07,0.3,0.43,
1873-01-01,5.11,0.3025,0.4325,
1873-02-01,5.15,0.305,0.435,
1873-03-01,5.11,0.3075,0.4375,
1873-04-01,5.04,0.31,0.44,
1873-05-01,5.05,0.3125,0.4425,
1873-06-01,4.98,0.315,0.445,
1873-07-01,4.97,0.3175,0.4475,
1873-08-01,4.97,0.32,0.45,
1873-09-01,4.59,0.3225,0.4525,
1873-10-01,4.19,0.325,0.455,
1873-11-01,4.04,0.3275,0.4575,
1873-12-01,4.42,0.33,0.46,
1874-01-01,4.66,0.33,0.46,
1874-02-01,4.8,0.33,0.46,
1874-03-01,4.73,0.33,0.46,
1874-04-01,4.6,0.33,0.46,
1874-05-01,4.48,0.33,0.46,
1874-06-01,4.46,0.33,0.46,
1874-07-01,4.46,0.33,0.46,
1874-08-01,4.47,0.33,0.46,
1874-09-01,4.54,0.33,0.46,
1874-10-01,4.53,0.33,0.46,
1874-11-01,4.57,0.33,0.46,
1874-12-01,4.54,0.33,0.46,
1875-01-01,4.54,0.3275,0.4517,
1875-02-01,4.53,0.325,0.4433,
1875-03-01,4.59,0.3225,0.435,
1875-04-01,4.65,0.32,0.4267,
1875-05-01,4.47,0.3175,0.4183,
1875-06-01,4.38,0.315,0.41,
1875-07-01,4.39,0.3125,0.4017,
1875-08-01,4.41,0.31,0.3933,
1875-09-01,4.37,0.3075,0.385,
1875-10-01,4.3,0.305,0.3767,
1875-11-01,4.37,0.3025,0.3683,
1875-12-01,4.37,0.3,0.36,
1876-01-01,4.46,0.3,0.3533,
1876-02-01,4.52,0.3,0.3467,
1876-03-01,4.51,0.3,0.34,
1876-04-01,4.34,0.3,0.3333,
1876-05-01,4.18,0.3,0.3267,
1876-06-01,4.15,0.3,0.32,
1876-07-01,4.1,0.3,0.3133,
1876-08-01,3.93,0.3,0.3067,
1876-09-01,3.69,0.3,0.3,
1876-10-01,3.67,0.3,0.2933,
1876-11-01,3.6,0.3,0.2867,
1876-12-01,3.58,0.3,0.28,
1877-01-01,3.55,0.2908,0.2817,
1877-02-01,3.34,0.2817,0.2833,
1877-03-01,3.17,0.2725,0.285,
1877-04-01,2.94,0.2633,0.2867,
1877-05-01,2.94,0.2542,0.2883,
1877-06-01,2.73,0.245,0.29,
1877-07-01,2.85,0.2358,0.2917,
1877-08-01,3.05,0.2267,0.2933,
1877-09-01,3.24,0.2175,0.295,
1877-10-01,3.31,0.2083,0.2967,
1877-11-01,3.26,0.1992,0.2983,
1877-12-01,3.25,0.19,0.3,
1878-01-01,3.25,0.1892,0.3008,
1878-02-01,3.18,0.1883,0.3017,
1878-03-01,3.24,0.1875,0.3025,
1878-04-01,3.33,0.1867,0.3033,
1878-05-01,3.34,0.1858,0.3042,
1878-06-01,3.41,0.185,0.305,
1878-07-01,3.48,0.1842,0.3058,
1878-08-01,3.45,0.1833,0.3067,
1878-09-01,3.52,0.1825,0.3075,
1878-10-01,3.48,0.1817,0.3083,
1878-11-01,3.47,0.1808,0.3092,
1878-12-01,3.45,0.18,0.31,
1879-01-01,3.58,0.1817,0.3158,
1879-02-01,3.71,0.1833,0.3217,
1879-03-01,3.65,0.185,0.3275,
1879-04-01,3.77,0.1867,0.3333,
1879-05-01,3.94,0.1883,0.3392,
1879-06-01,3.96,0.19,0.345,
1879-07-01,4.04,0.1917,0.3508,
1879-08-01,4.07,0.1933,0.3567,
1879-09-01,4.22,0.195,0.3625,
1879-10-01,4.68,0.1967,0.3683,
1879-11-01,4.93,0.1983,0.3742,
1879-12-01,4.92,0.2,0.38,
1880-01-01,5.11,0.205,0.3892,
1880-02-01,5.2,0.21,0.3983,
1880-03-01,5.3,0.215,0.4075,
1880-04-01,5.18,0.22,0.4167,
1880-05-01,4.77,0.225,0.4258,
1880-06-01,4.79,0.23,0.435,
1880-07-01,5.01,0.235,0.4442,
1880-08-01,5.19,0.24,0.4533,
1880-09-01,5.18,0.245,0.4625,
1880-10-01,5.33,0.25,0.4717,
1880-11-01,5.61,0.255,0.4808,
1880-12-01,5.84,0.26,0.49,
1881-01-01,6.19,0.265,0.4858,18.473952301404935
1881-02-01,6.17,0.27,0.4817,18.147258164990234
1881-03-01,6.24,0.275,0.4775,18.27011914020499
1881-04-01,6.22,0.28,0.4733,17.95010827822289
1881-05-01,6.5,0.285,0.4692,18.869718693152596
1881-06-01,6.58,0.29,0.465,19.028710731115783
1881-07-01,6.35,0.295,0.4608,18.116367187389738
1881-08-01,6.2,0.3,0.4567,17.286243553973446
1881-09-01,6.25,0.305,0.4525,16.724836648772897
1881-10-01,6.15,0.31,0.4483,16.26198941118135
1881-11-01,6.19,0.315,0.4442,16.478642316644866
1881-12-01,6.01,0.32,0.44,15.958754206105075
1882-01-01,5.92,0.32,0.4392,15.678764160028742
1882-02-01,5.79,0.32,0.4383,15.153861528363034
1882-03-01,5.78,0.32,0.4375,15.091670299486742
1882-04-01,5.78,0.32,0.4367,14.916997168375302
1882-05-01,5.71,0.32,0.4358,14.567103202191763
1882-06-01,5.68,0.32,0.435,14.327404890131671
1882-07-01,6.0,0.32,0.4342,15.240559761217824
1882-08-01,6.18,0.32,0.4333,15.525429331463032
1882-09-01,6.24,0.32,0.4325,16.08110662446232
1882-10-01,6.07,0.32,0.4317,15.755581030526558
1882-11-01,5.81,0.32,0.4308,15.192670313165342
1882-12-01,5.84,0.32,0.43,15.382128332081974
1883-01-01,5.81,0.3208,0.4275,15.270259119098572
1883-02-01,5.68,0.3217,0.425,14.757590146176222
1883-03-01,5.75,0.3225,0.4225,15.051254121401639
1883-04-01,5.87,0.3233,0.42,15.482067222036674
1883-05-01,5.77,0.3242,0.4175,15.335497637337067
1883-06-01,5.82,0.325,0.415,15.903388388583794
1883-07-01,5.73,0.3258,0.4125,15.94878312701703
1883-08-01,5.47,0.3267,0.41,15.196810876629849
1883-09-01,5.53,0.3275,0.4075,15.494692425793458
1883-10-01,5.38,0.3283,0.405,15.048056270223839
1883-11-01,5.46,0.3292,0.4025,15.408218142448872
1883-12-01,5.34,0.33,0.4,14.896403941887167
1884-01-01,5.18,0.3283,0.3925,14.432821721970727
1884-02-01,5.32,0.3267,0.385,14.805960228816712
1884-03-01,5.3,0.325,0.3775,14.736023454014473
1884-04-01,5.06,0.3233,0.37,14.353453682579477
1884-05-01,4.65,0.3217,0.3625,13.465050313804909
1884-06-01,4.46,0.32,0.355,12.906876483666862
1884-07-01,4.46,0.3183,0.3475,13.04393158599167
1884-08-01,4.74,0.3167,0.34,13.859813341769325
1884-09-01,4.59,0.315,0.3325,13.569154744335721
1884-10-01,4.44,0.3133,0.325,13.273251319134157
1884-11-01,4.35,0.3117,0.3175,13.304437602119727
1884-12-01,4.34,0.31,0.31,13.432292746944759
1885-01-01,4.24,0.3042,0.3067,13.129817425635963
1885-02-01,4.37,0.2983,0.3033,13.384817593597964
1885-03-01,4.38,0.2925,0.3,13.734194093452512
1885-04-01,4.37,0.2867,0.2967,13.548548541030055
1885-05-01,4.32,0.2808,0.2933,13.711371872561937
1885-06-01,4.3,0.275,0.29,13.97878436869835
1885-07-01,4.46,0.2692,0.2867,14.326658777089326
1885-08-01,4.71,0.2633,0.2833,15.13041079670715
1885-09-01,4.65,0.2575,0.28,15.11628502872424
1885-10-01,4.92,0.2517,0.2767,15.99102396216898
1885-11-01,5.24,0.2458,0.2733,16.824034498619017
1885-12-01,5.2,0.24,0.27,16.304475952278523
1886-01-01,5.2,0.2383,0.275,16.692317470797654
1886-02-01,5.3,0.2367,0.28,17.006648259460995
1886-03-01,5.19,0.235,0.285,16.843266101570133
1886-04-01,5.12,0.2333,0.29,16.8017161312463
1886-05-01,5.02,0.2317,0.295,16.863195515097825
1886-06-01,5.25,0.23,0.3,17.831494055376872
1886-07-01,5.33,0.2283,0.305,17.8458450415322
1886-08-01,5.37,0.2267,0.31,17.72391279961926
1886-09-01,5.51,0.225,0.315,18.147143925800023
1886-10-01,5.65,0.2233,0.32,18.562381342866562
1886-11-01,5.79,0.2217,0.325,18.968312634942837
1886-12-01,5.64,0.22,0.33,18.194057556886435
1887-01-01,5.58,0.2225,0.3325,17.51222209630495
1887-02-01,5.54,0.225,0.335,17.125366596972302
1887-03-01,5.67,0.2275,0.3375,17.473213711513747
1887-04-01,5.8,0.23,0.34,17.822983639100705
1887-05-01,5.9,0.2325,0.3425,18.07544542745824
1887-06-01,5.73,0.235,0.345,17.707695663272983
1887-07-01,5.59,0.2375,0.3475,17.431460535613063
1887-08-01,5.45,0.24,0.35,16.7398496148207
1887-09-01,5.38,0.2425,0.3525,16.676629667380137
1887-10-01,5.2,0.245,0.355,15.880666812517305
1887-11-01,5.3,0.2475,0.3575,15.950712201066768
1887-12-01,5.27,0.25,0.36,15.455513454469939
1888-01-01,5.31,0.2483,0.3517,15.358662514259898
1888-02-01,5.28,0.2467,0.3433,15.418178318820528
1888-03-01,5.08,0.245,0.335,14.808972366946557
1888-04-01,5.1,0.2433,0.3267,15.020108681844452
1888-05-01,5.17,0.2417,0.3183,15.387916957229121
1888-06-01,5.01,0.24,0.31,15.077628818434683
1888-07-01,5.14,0.2383,0.3017,15.279642515498166
1888-08-01,5.25,0.2367,0.2933,15.602911670088794
1888-09-01,5.38,0.235,0.285,15.987828821761413
1888-10-01,5.35,0.2333,0.2767,15.715941874329696
1888-11-01,5.24,0.2317,0.2683,15.223749016946273
1888-12-01,5.14,0.23,0.26,14.94674830108922
1889-01-01,5.24,0.2292,0.2633,15.802286071028153
1889-02-01,5.3,0.2283,0.2667,16.192720447848988
1889-03-01,5.19,0.2275,0.27,16.065045360769282
1889-04-01,5.18,0.2267,0.2733,16.050104533967474
1889-05-01,5.32,0.2258,0.2767,16.91542107606837
1889-06-01,5.41,0.225,0.28,17.219302943947675
1889-07-01,5.3,0.2242,0.2833,16.88921449110751
1889-08-01,5.37,0.2233,0.2867,17.13185397534572
1889-09-01,5.5,0.2225,0.29,17.35078802634859
1889-10-01,5.4,0.2217,0.2933,17.053214402955476
1889-11-01,5.35,0.2208,0.2967,16.906021170249357
1889-12-01,5.32,0.22,0.3,16.610338076603384
1890-01-01,5.38,0.22,0.2992,17.220071982181892
1890-02-01,5.32,0.22,0.2983,17.026814982671404
1890-03-01,5.28,0.22,0.2975,16.9011222885899
1890-04-01,5.39,0.22,0.2967,17.25785454260319
1890-05-01,5.62,0.22,0.2958,17.786430487858613
1890-06-01,5.58,0.22,0.295,17.684360844450154
1890-07-01,5.54,0.22,0.2942,17.589295440864856
1890-08-01,5.41,0.22,0.2933,16.5967911339791
1890-09-01,5.32,0.22,0.2925,16.1697020006153
1890-10-01,5.08,0.22,0.2917,15.482849163344431
1890-11-01,4.71,0.22,0.2908,14.7450434932928
1890-12-01,4.6,0.22,0.29,14.44299123133844
1891-01-01,4.84,0.22,0.2942,15.42898008646909
1891-02-01,4.9,0.22,0.2983,15.476522332432536
1891-03-01,4.81,0.22,0.3025,15.051623357657379
1891-04-01,4.97,0.22,0.3067,15.40894512547412
1891-05-01,4.95,0.22,0.3108,15.566495230713254
1891-06-01,4.85,0.22,0.315,15.658211395638146
1891-07-01,4.77,0.22,0.3192,15.617919238645996
1891-08-01,4.93,0.22,0.3233,16.163998509963037
1891-09-01,5.33,0.22,0.3275,17.711261413256526
1891-10-01,5.33,0.22,0.3317,17.716568589826366
1891-11-01,5.25,0.22,0.3358,17.671739174764
1891-12-01,5.41,0.22,0.34,18.206303000209935
1892-01-01,5.51,0.2217,0.3425,19.016388404225278
1892-02-01,5.52,0.2233,0.345,19.03642504097844
1892-03-01,5.58,0.225,0.3475,19.738054849323028
1892-04-01,5.57,0.2267,0.35,19.943265241638652
1892-05-01,5.57,0.2283,0.3525,19.911465213489816
1892-06-01,5.54,0.23,0.355,19.76928439713675
1892-07-01,5.54,0.2317,0.3575,19.211886434505566
1892-08-01,5.62,0.2333,0.36,19.20430380317383
1892-09-01,5.48,0.235,0.3625,18.694271809588205
1892-10-01,5.59,0.2367,0.365,19.040214915324714
1892-11-01,5.57,0.2383,0.3675,18.463312690800002
1892-12-01,5.51,0.24,0.37,18.013009251275744
1893-01-01,5.61,0.2408,0.3608,17.65664370809878
1893-02-01,5.51,0.2417,0.3517,17.12519385487246
1893-03-01,5.31,0.2425,0.3425,16.899589031582327
1893-04-01,5.31,0.2433,0.3333,17.102541578254925
1893-05-01,4.84,0.2442,0.3242,15.780987310776256
1893-06-01,4.61,0.245,0.315,15.416503863597697
1893-07-01,4.18,0.2458,0.3058,14.349854182760954
1893-08-01,4.08,0.2467,0.2967,14.58805653580782
1893-09-01,4.37,0.2475,0.2875,15.012069079138767
1893-10-01,4.5,0.2483,0.2783,15.27179415352019
1893-11-01,4.57,0.2492,0.2692,15.942411400571675
1893-12-01,4.41,0.25,0.26,15.61269433546494
1894-01-01,4.32,0.2467,0.2517,15.739869351948231
1894-02-01,4.38,0.2433,0.2433,16.202736596449935
1894-03-01,4.51,0.24,0.235,17.187622088121937
1894-04-01,4.57,0.2367,0.2267,17.434849078052462
1894-05-01,4.4,0.2333,0.2183,16.808751920918017
1894-06-01,4.34,0.23,0.21,16.606319695292537
1894-07-01,4.25,0.2267,0.2017,16.28967971491696
1894-08-01,4.41,0.2233,0.1933,16.457777072998375
1894-09-01,4.48,0.22,0.185,16.522315444877222
1894-10-01,4.34,0.2167,0.1767,16.502904205708436
1894-11-01,4.34,0.2133,0.1683,16.54278444744456
1894-12-01,4.3,0.21,0.16,16.672466333767733
1895-01-01,4.25,0.2083,0.1675,16.524443935162722
1895-02-01,4.19,0.2067,0.175,16.33123769321141
1895-03-01,4.19,0.205,0.1825,16.3646254271748
1895-04-01,4.37,0.2033,0.19,16.3875438236863
1895-05-01,4.61,0.2017,0.1975,17.080369553382397
1895-06-01,4.7,0.2,0.205,17.20741353978339
1895-07-01,4.72,0.1983,0.2125,17.54601464874056
1895-08-01,4.79,0.1967,0.22,18.074072547241798
1895-09-01,4.82,0.195,0.2275,18.200335946605474
1895-10-01,4.75,0.1933,0.235,17.94470662246648
1895-11-01,4.59,0.1917,0.2425,17.342998991921696
1895-12-01,4.32,0.19,0.25,16.548415156667964
